spectral_radius,equilibrium,validation
1.0780105106393447,"[0.02016108 0.01891308 0.25042033 0.14251323 0.04420623 0.20318791
 0.12212307 0.0785229  0.1222579  0.41051187 0.16377283 0.13323022
 0.11194758 0.26911907 0.43155464 0.08973303 0.04854951 0.14213814
 0.03353321 0.03882341]",True
1.2099575845681056,"[0.65330656 0.12185099 0.13079229 0.52731454 0.10304211 0.10591644
 0.19468396 0.1186818  0.00591338 0.03256282 0.91060702 0.09651488
 0.4342349  0.86595611 0.12467428 0.09859874 0.08358101 0.25221069
 0.22700167 0.24814654]",True
1.1287547796324329,"[0.15425759 0.0846526  0.19337367 0.25948152 0.2211542  0.21201866
 0.36749714 0.21063772 0.33543962 0.02691051 0.24939696 0.5274028
 0.56079601 0.328174   0.21960984 0.96434051 0.40844673 0.84317711
 0.17661982 0.21224646]",True
1.1302457523529983,"[0.07508219 0.04833199 0.1779108  0.21153843 0.11267832 0.04326109
 0.00147398 0.00624038 0.18349757 0.07306979 0.13187343 0.55337402
 0.20688102 0.16637505 0.39741712 0.13403241 0.18602526 0.49777233
 0.34492184 0.24293234]",True
1.132600332504465,"[0.04656473 0.38562765 0.06079153 0.09937359 0.12421348 0.00141164
 0.18403888 0.00752062 0.1978928  0.32574325 0.11721767 0.2148884
 0.08795272 0.10311304 0.12394956 0.68880128 0.16925708 0.05254076
 0.27887735 0.05604758]",True
1.041962214613365,"[0.07639403 0.02050478 0.11463841 0.0016944  0.18837905 0.03041393
 0.08600114 0.09490371 0.05110594 0.05665597 0.12175807 0.14653951
 0.01461227 0.1275324  0.15959552 0.13766033 0.08883107 0.26741096
 0.04934201 0.15967435]",True
1.1195600784494077,"[0.12811442 0.41821706 0.22120564 0.55704383 0.36213991 0.21009623
 0.08592136 0.20963009 0.42816011 0.19659416 0.23435744 0.53808153
 0.66390789 0.31469025 0.18440421 0.1849729  0.16450664 0.10389601
 0.08900924 0.44453774]",True
1.2273350552380613,"[0.9804902  0.4734084  0.26783724 0.17968935 0.40429117 0.34932664
 0.21903497 0.61372879 0.1640349  0.343023   0.21978127 0.25147822
 0.31107762 0.01610069 0.51832879 0.09139971 0.24285452 0.28929951
 0.17764623 0.18318807]",True
1.1453477663024962,"[0.36534559 0.12357039 0.16245255 0.18490615 0.19177171 0.21689318
 0.17649841 0.09132196 0.07395378 0.14872926 0.21485402 0.02272076
 0.96718066 0.20494008 0.27841719 0.40615976 0.18163422 0.26362399
 0.1122354  0.00438759]",True
1.0403703897300896,"[3.26568733e-01 2.21495009e-04 3.07416704e-02 3.71650780e-02
 6.85296899e-02 8.47008042e-02 8.43481335e-03 1.39798298e-02
 3.77264371e-02 5.63096438e-02 1.82786143e-02 1.34571302e-01
 3.53964263e-02 1.68020932e-02 4.51198790e-03 4.34016892e-02
 9.11988801e-03 2.18729450e-01 1.04041290e-01 8.26283330e-02]",True
1.2168806876836702,"[0.55998576 0.10057057 0.29948297 0.18104644 0.56224544 0.63483406
 0.12180652 0.17785555 0.339851   0.71720692 0.29435836 0.16856667
 0.0147014  0.17992769 0.58950215 0.16180571 0.38494558 0.73042269
 0.25804388 0.0899565 ]",True
1.169265212066145,"[0.28627254 0.59590089 0.33865257 0.04907129 0.01976506 0.89418137
 0.0121022  0.11391269 0.04024101 0.36203907 0.10345605 0.01326939
 0.53535588 0.43451361 0.12506458 0.28523068 0.31039361 0.13830749
 0.29133157 0.04167808]",True
1.1738294288412807,"[9.36193118e-01 1.78877322e-01 1.79811236e-01 2.29671397e-01
 9.18444096e-04 1.26435524e-01 1.63348730e-01 3.88744080e-02
 2.30999665e-02 3.32548701e-01 3.70198995e-01 2.48938354e-01
 5.00706527e-01 2.23947103e-01 1.78013523e-01 9.04852040e-02
 1.37500556e-01 1.51405852e-01 1.15676690e-01 1.02431535e-01]",True
1.2736898991155847,"[0.72049558 0.12145474 0.87819612 0.33500386 0.4642107  0.41394515
 0.5831517  0.58139903 0.77671794 0.31593682 0.22585397 0.39551535
 0.27093861 0.28684697 0.65818048 0.30195087 0.41496478 0.70802461
 0.91678969 0.32421962]",True
1.2348872214085191,"[0.13722309 0.05378825 0.27376569 0.27473823 0.13092376 0.21799654
 0.59321282 0.23115084 0.72121957 0.25242438 0.4578758  0.0121747
 0.04447266 0.05141519 0.18858689 0.99989755 0.95092254 0.33350608
 0.05518175 0.05388903]",True
1.1370111126269877,"[0.06474928 0.12923655 0.31298165 0.39479837 0.4783423  0.00543731
 0.29800684 0.2578235  0.67257508 0.19962128 0.10949567 0.32921112
 0.31528419 0.30453518 0.08268081 0.1211022  0.14023428 0.23785213
 0.05076611 0.26845346]",True
1.0951321407714862,"[0.0605267  0.43136891 0.0224619  0.02065669 0.23859048 0.01326635
 0.07271268 0.22413543 0.08805994 0.02639317 0.40005355 0.10630666
 0.53013681 0.11455159 0.09549536 0.04665599 0.13987591 0.11584786
 0.15386272 0.25633581]",True
1.2312629917124807,"[0.23228772 0.92435161 0.358584   0.64510718 0.67079025 0.56173597
 0.12502822 0.07319444 0.20205146 0.98867732 0.00626465 0.05178146
 0.28912474 0.86949151 0.31061479 0.00695457 0.31210048 0.16028885
 0.59485332 0.25005609]",True
1.227262769180569,"[0.23312872 0.69616144 0.21661506 0.26078826 0.25047329 0.27479325
 0.18324953 0.31243978 0.08222163 0.2049153  0.1655491  0.90625553
 0.65117666 0.27710263 0.54162095 0.44615149 0.41379863 0.22307894
 0.40133948 0.87064757]",True
1.1555910587895704,"[0.50705151 0.28031215 0.34221718 0.13561183 0.01861769 0.62267602
 0.05966219 0.23111813 0.1854752  0.5492469  0.27154005 0.20531358
 0.2140168  0.48055408 0.08617717 0.02101957 0.40838258 0.03682205
 0.29584979 0.24214574]",True
1.1758777762774608,"[0.18824283 0.50914777 0.45616447 0.257882   0.1808738  0.45393255
 0.14122891 0.07326377 0.31383554 0.92050831 0.09723383 0.27547777
 0.00752156 0.26218506 0.28360185 0.2257036  0.14452169 0.27599493
 0.14789594 0.29423258]",True
1.177373521748549,"[0.52493585 0.12204682 0.28071874 0.04710534 0.0769816  0.41081255
 0.01527508 0.58851044 0.55885912 0.17481027 0.1437764  0.08763379
 0.17467009 0.21447987 0.00534387 0.99558314 0.46379345 0.1922539
 0.03708211 0.91084985]",True
1.028467505407889,"[0.03584809 0.00095763 0.04591925 0.02205278 0.04359881 0.00058722
 0.06224964 0.02842685 0.22494758 0.00221021 0.04546146 0.03298316
 0.11627403 0.0254882  0.08122645 0.22615531 0.07742154 0.02225836
 0.03528607 0.07295475]",True
1.27529602348488,"[0.01529342 0.59700703 0.43754336 0.27444642 0.30321514 0.32528858
 0.16357154 0.24570754 0.27027842 0.70254039 0.41852564 0.31125105
 0.97474233 0.60777024 0.30699031 0.23542663 0.26297294 0.16167372
 0.5771742  0.86331451]",True
1.0659297181310414,"[0.44315629 0.40151985 0.03554149 0.2394336  0.22431752 0.182102
 0.04111459 0.33005738 0.04944375 0.31816268 0.03374777 0.00727116
 0.44629531 0.08093164 0.39558112 0.60884231 0.1628366  0.96160954
 0.2169332  0.03731302]",True
